Period,EQ,Social_Search_Impressions,Social_Search_Working_cost,Digital_Impressions,Digital_Working_cost,Print_Impressions.Ads40,Print_Working_Cost.Ads50,OOH_Impressions,OOH_Working_Cost,SOS_pct,Digital_Impressions_pct,CCFOT,Median_Temp,Median_Rainfall,Fuel_Price,Inflation,Trade_Invest,Brand_Equity,Avg_EQ_Price,Any_Promo_pct_ACV,Any_Feat_pct_ACV,Any_Disp_pct_ACV,EQ_Base_Price,Est_ACV_Selling,pct_ACV,Avg_no_of_Items,pct_PromoMarketDollars_Category,RPI_Category,Magazine_Impressions_pct,TV_GRP,Competitor1_RPI,Competitor2_RPI,Competitor3_RPI,Competitor4_RPI,EQ_Category,EQ_Subcategory,pct_PromoMarketDollars_Subcategory,RPI_Subcategory
0,691.1380407903703,18310080.111111112,76215.88888888889,6494467.0,199228.66666666666,203552.7037037037,104216.29629629629,369992949.2962963,1921174.851851852,21.703703703703702,24.962962962962962,61.25925925925926,53.370370370370374,0.48858444444444443,8.57551851851852,0.06178833333333333,5382.851851851852,43.21259259259259,51.765185185185196,8.114481481481484,3.686296296296297,2.285333333333333,1.5285555555555557,540439316.8888888,29.072962962962965,2.606596296296295,0.244774074074074,39.857962962962965,50.817037037037046,30.188148148148144,107.59074074074073,38.75333333333333,45.574074074074076,70.50777777777778,6970413.185185186,517645.0740740741,0.23411111111111113,39.30296296296295
1,242.22680449178574,14875067.035714285,59077.21428571428,6597846.035714285,197114.17857142858,208935.82142857142,100833.82142857143,449242844.6785714,1810302.1785714286,28.464285714285715,22.892857142857142,50.535714285714285,59.17857142857143,0.5262253571428571,8.464892857142859,0.06449664285714286,5645.857142857143,43.112142857142864,51.81107142857143,8.214607142857142,3.7535714285714277,2.3254642857142858,1.534535714285714,640592564.5714285,28.13821428571428,2.5625464285714292,0.20008142857142858,40.31932142857141,52.32785714285716,28.47499999999999,104.9682142857143,37.21857142857142,46.160000000000004,70.29892857142859,7376125.107142857,519026.89285714284,0.21327142857142858,40.53535714285716
2,1120.7874282774999,23846946.714285713,71004.64285714286,6026242.928571428,215623.4642857143,202017.75,117552.28571428571,565136915.25,2013478.857142857,25.25,23.535714285714285,63.464285714285715,56.785714285714285,0.5597657142857144,8.483857142857143,0.06665814285714286,5422.892857142857,43.285000000000004,52.78964285714286,7.516285714285717,4.235357142857143,2.6921071428571426,1.5708214285714284,599550072.6785715,27.78607142857143,2.593828571428572,0.27766071428571426,41.102892857142855,52.94392857142857,30.968928571428567,104.96107142857143,39.16678571428571,46.23071428571429,70.08535714285713,6331047.928571428,490450.0,0.2401785714285714,41.64607142857143
3,595.7083097806392,18508874.785714287,64412.142857142855,7237925.25,194743.17857142858,212753.75,111015.46428571429,432176819.60714287,1976103.4642857143,29.035714285714285,26.607142857142858,48.07142857142857,51.107142857142854,0.5306160714285715,8.636035714285715,0.06129817857142856,5707.607142857143,43.230714285714285,50.07142857142856,8.40792857142857,3.8442857142857148,1.9703928571428568,1.558214285714286,589552990.6785715,28.638928571428572,2.5903392857142857,0.2191839285714286,40.67849999999999,48.036785714285706,29.393928571428575,109.21892857142852,38.28107142857142,46.59428571428571,69.82821428571427,6213332.857142857,558683.0357142857,0.22353928571428575,41.58249999999999
4,1268.6823959321787,20481373.0,63095.892857142855,5598244.607142857,198530.92857142858,192220.14285714287,103754.42857142857,476089916.5,2056607.5714285714,23.75,23.107142857142858,63.32142857142857,54.142857142857146,0.5654978571428572,8.485535714285714,0.08353489285714287,5249.035714285715,43.12107142857142,51.97392857142857,8.974107142857143,3.7774999999999994,2.4860714285714285,1.5582142857142856,582999111.2857143,27.308214285714286,2.548482142857143,0.2080842857142857,41.32514285714286,50.01464285714287,28.01321428571428,106.31892857142859,38.60107142857144,46.1532142857143,70.84964285714285,6574164.035714285,590783.5357142857,0.22310000000000005,38.497142857142855
5,472.8472998696428,20401627.214285713,61521.607142857145,6490873.178571428,263188.0,200826.35714285713,90034.53571428571,433023848.85714287,2072293.5357142857,31.071428571428573,30.428571428571427,52.5,55.785714285714285,0.49820785714285715,8.39642857142857,0.06650467857142858,5703.071428571428,43.29607142857144,50.89428571428572,7.59192857142857,4.003571428571428,2.0715357142857145,1.5451785714285715,602290900.8571428,30.497142857142865,2.628828571428571,0.23759892857142856,40.96560714285714,46.986071428571435,27.162857142857145,107.19392857142859,38.743214285714295,46.54928571428571,70.96607142857142,6410031.821428572,548748.0357142857,0.24285357142857136,39.29392857142857
6,585.5011232512858,16895331.17857143,71899.0,6964594.928571428,222887.39285714287,205308.57142857142,110729.78571428571,521237437.21428573,2260453.3214285714,27.964285714285715,27.357142857142858,61.714285714285715,59.107142857142854,0.6276046428571428,8.624142857142855,0.07494342857142855,4997.964285714285,43.218928571428584,51.47678571428571,7.332571428571428,3.9657142857142853,2.5665357142857137,1.5397857142857145,540967228.2857143,32.332857142857144,2.5204178571428573,0.19645321428571433,39.61639285714285,49.06071428571429,26.541071428571435,106.66035714285715,38.712142857142865,45.791071428571435,73.29499999999999,6714638.0,576337.5714285715,0.16983571428571428,39.32107142857143
7,855.2427588388929,21937227.714285713,51277.142857142855,7167445.357142857,184564.10714285713,194593.89285714287,103924.60714285714,363973243.46428573,1809776.5,26.142857142857142,30.0,55.5,54.42857142857143,0.39875892857142864,8.667214285714286,0.07710757142857143,5767.071428571428,43.182857142857145,50.01464285714286,8.971749999999998,3.6046428571428573,1.7140000000000004,1.5436785714285712,561720698.5714285,30.850357142857153,2.487778571428571,0.3009500000000001,40.14360714285714,50.51821428571429,26.595714285714287,107.55857142857141,38.16249999999999,45.75428571428571,71.07000000000001,6934923.678571428,582867.8928571428,0.22505357142857144,38.970714285714294
8,566.6826886115358,20652944.285714287,56164.32142857143,8546349.32142857,204683.4642857143,188903.25,84123.17857142857,473030096.5714286,1545176.9642857143,26.285714285714285,31.535714285714285,61.17857142857143,54.57142857142857,0.49783714285714276,8.484321428571429,0.07253246428571428,6104.714285714285,43.170714285714276,52.195357142857155,9.118214285714284,3.5049999999999994,2.037714285714286,1.5548214285714288,618211751.3571428,29.254999999999995,2.5608357142857145,0.2935621428571428,40.68121428571429,54.334285714285706,27.667500000000008,105.36678571428571,38.48892857142857,46.558571428571426,69.27428571428572,6554400.357142857,510434.4285714286,0.1921,40.37964285714286
9,532.3630109515,18207932.964285713,71828.89285714286,6910202.428571428,213399.2142857143,208809.10714285713,93780.71428571429,477261341.0,2251908.464285714,27.75,23.75,53.892857142857146,59.32142857142857,0.5598917857142857,8.72817857142857,0.06401232142857143,6455.0,43.2675,49.834285714285706,8.034821428571432,3.473214285714285,2.465392857142858,1.5217499999999997,628368605.2857143,30.306071428571432,2.5567964285714284,0.24970535714285713,40.39325,52.15821428571428,27.582500000000003,105.88249999999998,40.55928571428571,45.886785714285715,70.50035714285714,7171853.071428572,604754.3928571428,0.19131785714285715,41.056785714285716
